"ID","Age","Employment","Education","Marital","Occupation","Income","Sex","Deductions","Hours","Accounts","Adjustment","Adjusted"
1004641,38,"Private","College","Separated","Service",71511.95,"Female",0,72,"UnitedStates",0,0
1010229,35,"Private","Associate","Unmarried","Transport",73603.28,"Male",0,30,"Jamaica",0,0
1024587,32,"Private","HSgrad","Divorced","Clerical",82365.86,"Male",0,40,"UnitedStates",0,0
1038288,45,"Private","Bachelor","Civil","Repair",27332.32,"Male",0,55,"UnitedStates",7298,1
1044221,60,"Private","College","Civil","Executive",21048.33,"Male",0,40,"UnitedStates",15024,1
1047095,74,"Private","HSgrad","Civil","Service",45250.72,"Male",0,30,"UnitedStates",0,0
1047698,43,"Private","Bachelor","Civil","Executive",9593.14,"Male",0,50,"UnitedStates",0,1
1053888,35,"Private","Yr12","Civil","Machinist",44876.96,"Male",0,40,"UnitedStates",0,0
1061323,25,"Private","Associate","Divorced","Clerical",257398.2,"Female",0,40,"UnitedStates",0,0
1062363,22,"Private","HSgrad","Unmarried","Sales",41361.24,"Female",0,37,"UnitedStates",0,0
1068642,48,"Private","College","Divorced","Service",171268.15,"Female",0,35,"UnitedStates",0,0
1071615,60,"Private","Vocational","Widowed","Clerical",25393.16,"Male",0,40,"UnitedStates",0,0
1071878,21,"Private","College","Unmarried","Service",168355.62,"Female",0,35,"UnitedStates",0,0
1077831,21,"Private","College","Unmarried","Machinist",93477.68,"Male",0,40,"UnitedStates",0,0
1084870,50,"Private","Master","Civil","Executive",23466.12,"Male",0,40,"Philippines",7298,1
1085176,37,"Private","HSgrad","Divorced","Executive",19167.4,"Male",0,35,"UnitedStates",0,0
1093662,30,"Consultant","HSgrad","Divorced","Repair",53489.44,"Male",0,40,"UnitedStates",0,0
1094029,32,"Private","HSgrad","Civil","Machinist",26084.04,"Male",0,40,"UnitedStates",0,0
1099084,65,"SelfEmp","College","Civil","Sales",41314.65,"Male",0,40,"UnitedStates",0,0
