@relation audit
@attribute ID numeric
@attribute Age numeric
@attribute Employment {'Consultant','Private','PSFederal','PSLocal','PSState','SelfEmp','Unemployed','Volunteer'}
@attribute Education {'Associate','Bachelor','College','Doctorate','HSgrad','Master','Preschool','Professional','Vocational','Yr10','Yr11','Yr12','Yr1t4','Yr5t6','Yr7t8','Yr9'}
@attribute Marital {'Absent','Divorced','Married','Married-spouse-absent','Unmarried','Widowed'}
@attribute Occupation {'Cleaner','Clerical','Executive','Farming','Home','Machinist','Military','Professional','Protective','Repair','Sales','Service','Support','Transport'}
@attribute Income numeric
@attribute Sex {'Female','Male'}
@attribute Deductions numeric
@attribute Hours numeric
@attribute Accounts {'Canada','China','Columbia','Cuba','Ecuador','England','Fiji','Germany','Greece','Guatemala','Hong','Hungary','India','Indonesia','Iran','Ireland','Italy','Jamaica','Japan','Malaysia','Mexico','NewZealand','Nicaragua','Philippines','Poland','Portugal','Scotland','Singapore','Taiwan','Thailand','UnitedStates','Vietnam','Yugoslavia'}
@attribute Adjustment numeric
@attribute Adjusted numeric
@data
1004641,38,'Private','College','Unmarried','Service',66597.96,'Female',0,72,'UnitedStates',0,0
1010229,35,'Private','Associate','Absent','Transport',91779.64,'Male',0,30,'Jamaica',0,0
1024587,32,'Private','HSgrad','Divorced','Clerical',151560.54,'Male',0,40,'UnitedStates',0,0
1038288,45,'Private','Bachelor','Married','Repair',43640.42,'Male',0,55,'UnitedStates',7298,1
1044221,60,'Private','College','Married','Executive',19807.36,'Male',0,40,'UnitedStates',15024,1
1047095,74,'Private','HSgrad','Married','Service',38625.44,'Male',0,30,'UnitedStates',0,0
1047698,43,'Private','Bachelor','Married','Executive',59573.72,'Male',0,50,'UnitedStates',5062,1
1053888,35,'Private','Yr12','Married','Machinist',40889.23,'Male',0,40,'UnitedStates',0,0
1061323,25,'Private','Associate','Divorced','Clerical',182745.6,'Female',0,40,'UnitedStates',0,0
1062363,22,'Private','HSgrad','Absent','Sales',65235.56,'Female',0,37,'UnitedStates',0,0
1068642,48,'Private','College','Divorced','Service',46983.54,'Female',0,35,'UnitedStates',0,0
1071615,60,'Private','Vocational','Widowed','Clerical',114287.77,'Male',0,40,'UnitedStates',0,0
1071878,21,'Private','College','Absent','Service',198792.34,'Female',0,35,'UnitedStates',0,0
1077831,21,'Private','College','Absent','Machinist',70733.93,'Male',0,40,'UnitedStates',0,0
1084870,50,'Private','Master','Married','Executive',23666.05,'Male',0,40,'Philippines',7298,1
1085176,37,'Private','HSgrad','Divorced','Executive',61155.53,'Male',0,35,'UnitedStates',0,0
1093662,30,'Consultant','HSgrad','Divorced','Repair',61090.73,'Male',0,40,'UnitedStates',0,0
1094029,32,'Private','HSgrad','Married','Machinist',51178.9,'Male',0,40,'UnitedStates',0,0
1099084,65,'SelfEmp','College','Married','Sales',19778.1,'Male',0,40,'UnitedStates',0,0
1099829,28,'Private','College','Married','Executive',62167.17,'Male',0,55,'UnitedStates',0,0
1110947,40,'PSLocal','Vocational','Divorced','Executive',228253.4,'Female',0,40,'UnitedStates',0,0
1113899,41,'PSState','Bachelor','Divorced','Executive',59230.36,'Male',0,40,'UnitedStates',0,0
1126025,30,'Private','HSgrad','Absent','Service',97471.66,'Male',0,30,'UnitedStates',0,0
1129687,38,'Private','HSgrad','Married','Repair',31262.88,'Male',0,40,'UnitedStates',0,0
1133761,23,'Private','Yr11','Unmarried','Professional',224529.56,'Male',0,35,'UnitedStates',0,0
1135666,42,'PSState','College','Absent','Executive',110514.59,'Female',0,40,'UnitedStates',0,0
1139749,26,'Private','Bachelor','Absent','Sales',103450.13,'Female',0,40,'UnitedStates',0,0
1141887,32,'Consultant','HSgrad','Married','Sales',39572.68,'Male',0,60,'UnitedStates',-487,1
1142177,49,'PSFederal','College','Married','Support',9516.6,'Male',0,40,'UnitedStates',9448,1
1142367,26,'Private','HSgrad','Married','Repair',49422.59,'Male',0,40,'Mexico',0,0
1142837,28,'Private','Yr10','Married','Machinist',48979.75,'Male',0,40,'UnitedStates',0,0
1145025,41,'PSFederal','Bachelor','Married','Support',31976.5,'Male',0,24,'UnitedStates',0,0
1146358,46,'Private','HSgrad','Absent','Service',200367.89,'Female',0,24,'UnitedStates',0,0
1147562,42,'Private','College','Absent','Machinist',67921.39,'Female',0,40,'UnitedStates',0,0
1151685,39,'Private','College','Divorced','Clerical',55921.86,'Female',0,40,'UnitedStates',0,0
1153241,50,'Private','Yr11','Absent','Machinist',126560.85,'Female',0,40,'UnitedStates',0,0
1155672,47,'PSLocal','Doctorate','Absent','Professional',321518.5,'Female',0,40,'UnitedStates',0,0
1157546,24,'Private','Associate','Unmarried','Repair',138057.27,'Male',0,40,'UnitedStates',8614,1
1158519,45,'Private','Vocational','Married','Repair',3980.01,'Male',0,40,'UnitedStates',0,0
1169595,40,'PSFederal','Associate','Absent','Clerical',49019.95,'Female',0,40,'UnitedStates',0,0
1172381,51,'SelfEmp','Doctorate','Married','Professional',36232.4,'Male',0,40,'UnitedStates',15024,1
1172752,77,'Private','HSgrad','Married','Service',45490.74,'Male',0,25,'Cuba',0,0
1177328,35,'Private','College','Married','Support',31953.59,'Male',0,45,'UnitedStates',0,0
1178076,39,'Private','Yr9','Divorced','Cleaner',81424.98,'Male',0,50,'UnitedStates',0,0
1197102,39,'PSState','Bachelor','Absent','Executive',103713.56,'Female',0,40,'UnitedStates',0,0
1199127,63,'SelfEmp','Bachelor','Married','Farming',34593.87,'Male',0,40,'UnitedStates',8343,1
1205484,64,'Private','HSgrad','Widowed','Service',89089.25,'Female',0,38,'UnitedStates',0,0
1210411,39,'Private','Bachelor','Married','Professional',28610.87,'Male',0,40,'UnitedStates',0,1
1211118,66,'Private','Yr5t6','Married-spouse-absent','Cleaner',215800.33,'Female',0,40,'Malaysia',0,0
1212771,18,'Unemployed','Yr11','Absent',?,231639.15,'Female',0,10,'UnitedStates',0,0
1216471,42,'PSLocal','College','Married','Executive',49945.12,'Male',0,45,'UnitedStates',15665,1
1218427,31,'PSLocal','College','Absent','Clerical',69972.68,'Female',0,40,'UnitedStates',0,0
1222601,31,'Private','Bachelor','Married','Executive',1037.14,'Male',2246,45,'UnitedStates',680,1
1226867,45,'Private','Professional','Absent','Professional',57017.47,'Male',0,40,'UnitedStates',381,1
1230404,19,'PSLocal','College','Absent','Service',96201.28,'Female',0,35,'UnitedStates',0,0
1233450,32,'Private','HSgrad','Married','Machinist',26907.36,'Male',0,40,'UnitedStates',0,0
1254408,27,'Private','Bachelor','Absent','Professional',25986.98,'Male',0,40,'UnitedStates',13550,1
1258702,25,'Private','HSgrad','Married','Transport',18991.27,'Male',0,30,'UnitedStates',0,0
1259473,21,'Private','College','Absent','Clerical',57251.99,'Male',0,65,'UnitedStates',0,0
1264690,33,'Consultant','HSgrad','Absent','Farming',201147.84,'Male',0,70,'UnitedStates',0,0
1264939,43,?,'HSgrad','Absent',?,188884.67,'Female',0,40,'UnitedStates',0,0
1267022,31,'Private','Bachelor','Absent','Executive',95412.82,'Male',1160.66666666667,38,'UnitedStates',0,0
1272722,56,'PSFederal','Bachelor','Divorced','Clerical',63445.72,'Male',0,40,'UnitedStates',0,0
1273089,62,'Volunteer','Associate','Married','Farming',24538.91,'Male',0,50,'UnitedStates',0,0
1276387,28,'Private','Associate','Absent','Transport',139312.51,'Male',0,60,'UnitedStates',0,0
1276913,39,'Private','HSgrad','Married','Executive',31882.51,'Male',0,40,'UnitedStates',0,0
1282955,61,'PSLocal','Master','Absent','Professional',123815.03,'Female',0,25,'UnitedStates',0,0
1287816,32,'Private','HSgrad','Absent','Sales',86075.44,'Female',0,50,'UnitedStates',0,0
1288612,48,'PSState','Bachelor','Married','Executive',30970.42,'Male',0,40,'UnitedStates',9468,1
1288870,27,'Private','HSgrad','Married','Farming',31308.97,'Male',0,40,'UnitedStates',0,0
1292427,20,'Private','Yr9','Absent','Transport',61914.88,'Male',0,50,'UnitedStates',0,0
1293079,37,'Private','HSgrad','Absent','Machinist',106939.19,'Male',0,40,'UnitedStates',0,0
1298943,43,'Private','College','Married','Repair',23001.28,'Male',0,38,'UnitedStates',0,0
1301028,47,'Consultant','HSgrad','Married','Machinist',16129.18,'Male',0,40,'UnitedStates',7298,1
1310818,33,'Private','Yr11','Absent','Service',78232.66,'Male',0,40,'UnitedStates',0,0
1312365,64,'Private','HSgrad','Married','Machinist',21341.79,'Male',0,40,'UnitedStates',0,0
1312435,44,'Private','Bachelor','Married','Sales',23608.28,'Male',0,50,'UnitedStates',7688,1
1314358,23,'Private','College','Absent','Service',68631.71,'Female',0,35,'UnitedStates',0,0
1315432,22,'Private','HSgrad','Absent','Service',213323.95,'Female',0,35,'UnitedStates',0,0
1318398,49,'PSLocal','Master','Married','Executive',4730.53,'Male',0,50,'UnitedStates',2074,1
1322745,28,'PSFederal','HSgrad','Absent','Executive',70762.43,'Female',0,70,'Malaysia',0,0
1325704,36,'Private','HSgrad','Divorced','Transport',95441.6,'Male',0,50,'UnitedStates',0,0
1347511,22,'Private','Bachelor','Absent','Professional',65263.45,'Female',0,15,'Germany',0,0
1365727,29,'Private','Vocational','Married','Transport',46605.83,'Male',0,55,'UnitedStates',0,0
1367013,26,'Private','College','Absent','Support',135247.51,'Male',0,20,'UnitedStates',0,0
1367887,44,'Private','Bachelor','Married','Executive',37221.82,'Male',0,40,'UnitedStates',6978,1
1382647,26,'Private','Associate','Absent','Clerical',100565.61,'Female',0,8,'UnitedStates',0,0
1383516,28,'Private','Bachelor','Absent','Executive',57065.4,'Female',0,60,'UnitedStates',0,0
1391108,19,'Private','Yr11','Absent','Sales',43234.68,'Female',0,25,'UnitedStates',0,0
1394083,45,'Consultant','HSgrad','Married','Sales',62340.77,'Male',0,50,'Vietnam',863,1
1398239,35,'Private','College','Divorced','Sales',82521.05,'Female',0,35,'UnitedStates',0,0
1398832,42,'Private','Vocational','Married','Service',13929.31,'Male',0,30,'UnitedStates',0,0
1400557,58,'PSState','Doctorate','Married','Professional',23144.51,'Male',0,40,'India',0,0
1401108,55,'Private','College','Married','Repair',42231.77,'Male',0,40,'UnitedStates',0,0
1434262,25,'Private','HSgrad','Absent','Repair',68068.62,'Male',0,28,'UnitedStates',0,0
1440111,78,'SelfEmp','Bachelor','Married','Executive',37144.03,'Male',0,45,'UnitedStates',9386,1
1454004,53,'PSLocal','HSgrad','Married','Executive',37829.72,'Male',0,60,'UnitedStates',0,0
1455874,34,'Private','Vocational','Married','Executive',20809.3,'Male',0,40,'UnitedStates',0,0
1457685,28,'Private','College','Married','Sales',52720.58,'Male',0,40,'UnitedStates',0,0
1467638,50,'Private','HSgrad','Married','Sales',29365,'Male',0,48,'UnitedStates',0,0
1467797,47,'Consultant','College','Married','Clerical',314651.78,'Female',0,35,'UnitedStates',4156,1
1471496,61,'SelfEmp','Master','Widowed','Executive',160656.23,'Female',0,99,'UnitedStates',0,0
1472475,45,'Consultant','Professional','Absent','Professional',70825.59,'Male',0,30,'UnitedStates',0,1
1474194,33,'Private','HSgrad','Married','Repair',36587.67,'Male',0,40,'UnitedStates',0,0
1474221,39,'Private','Bachelor','Married','Support',44362.1,'Male',0,50,'UnitedStates',2501,1
1488053,60,'Private','College','Divorced','Repair',140728.7,'Male',0,44,'UnitedStates',5402,1
1493406,43,'Private','College','Married','Professional',52474.44,'Male',0,40,'UnitedStates',0,0
1495310,35,'Private','HSgrad','Absent','Clerical',110602.34,'Male',0,40,'UnitedStates',8614,1
1495484,22,'Private','Yr10','Absent','Transport',102740.51,'Male',0,84,'UnitedStates',0,0
1502038,63,'Private','College','Married','Repair',45822.81,'Male',0,45,'UnitedStates',0,0
1502111,64,'Private','College','Widowed','Executive',131253.7,'Female',0,3,'UnitedStates',0,0
1505676,54,'Private','HSgrad','Married','Machinist',39052.57,'Male',0,45,'UnitedStates',5192,1
1509085,57,'Private','HSgrad','Widowed','Clerical',75159.88,'Female',0,40,'UnitedStates',0,0
1515465,45,'Private','College','Divorced','Support',64578,'Female',0,40,'Indonesia',0,0
1518173,33,'Private','Bachelor','Married','Executive',320164.44,'Female',0,40,'UnitedStates',8664,1
1524841,25,'Private','HSgrad','Absent','Sales',210455.06,'Male',0,40,'UnitedStates',0,0
1530194,29,'Private','Vocational','Absent','Repair',69992.89,'Male',0,50,'UnitedStates',0,0
1531306,46,'Private','HSgrad','Married','Executive',37082.11,'Male',0,40,'UnitedStates',6181,1
1534678,46,'Private','Associate','Absent','Professional',108394.17,'Female',0,33,'UnitedStates',0,0
1541756,22,'Private','HSgrad','Absent','Service',81858,'Female',0,35,'UnitedStates',0,0
1545759,36,'Private','HSgrad','Married','Repair',17548.83,'Male',1887,60,'UnitedStates',2103,1
1545762,30,'Private','College','Married','Machinist',32449.7,'Male',0,40,'UnitedStates',0,1
1548067,28,'Private','HSgrad','Absent','Cleaner',129681.23,'Male',0,30,'UnitedStates',0,0
1548224,21,'PSState','College','Absent','Service',36919.99,'Female',0,10,'UnitedStates',0,0
1551622,63,'Consultant','College','Married','Machinist',33986.69,'Male',0,35,'UnitedStates',1729,1
1557461,32,'Private','Yr10','Absent','Repair',68121.37,'Male',0,50,'UnitedStates',0,0
1579205,32,'PSLocal','Bachelor','Married','Professional',282598.54,'Female',0,35,'UnitedStates',5262,1
1585271,22,'Private','Yr10','Absent','Clerical',119058.2,'Female',0,40,'UnitedStates',0,0
1588605,22,'Private','College','Absent','Cleaner',278371.4,'Male',0,35,'UnitedStates',0,0
1597428,40,'Private','HSgrad','Married','Professional',47850.35,'Male',1902,40,'UnitedStates',0,1
1598679,31,'Private','College','Married','Clerical',44734.65,'Male',0,40,'UnitedStates',0,0
1600316,33,'Private','Associate','Married-spouse-absent','Machinist',161908.75,'Male',0,40,'UnitedStates',0,0
1608800,23,'Private','College','Divorced','Sales',236512.83,'Female',0,40,'UnitedStates',0,0
1611099,59,'Consultant','Bachelor','Widowed','Professional',23347.63,'Female',0,50,'UnitedStates',0,1
1612385,35,'Private','Bachelor','Married','Executive',43984.11,'Male',0,50,'UnitedStates',7688,1
1624617,39,'Private','HSgrad','Married','Clerical',130890.76,'Female',0,25,'UnitedStates',0,0
1637260,40,'Consultant','Bachelor','Married','Repair',41295.39,'Male',0,50,'UnitedStates',0,0
1639863,23,'Private','HSgrad','Absent','Repair',35146.94,'Male',0,40,'UnitedStates',0,0
1641472,45,'Private','HSgrad','Absent','Machinist',61115.29,'Male',0,40,'UnitedStates',0,0
1641476,17,'Private','Yr9','Absent','Sales',191674.16,'Male',0,22,'UnitedStates',0,0
1647650,59,'Private','HSgrad','Widowed','Service',74486.57,'Female',0,10,'UnitedStates',0,0
1648985,37,'Private','College','Divorced','Transport',141617.86,'Male',0,40,'UnitedStates',0,0
1654599,27,'Private','HSgrad','Married','Machinist',19640.78,'Male',0,40,'UnitedStates',0,0
1667037,82,'Private','Yr5t6','Widowed','Service',49901.48,'Male',0,20,'UnitedStates',0,0
1670669,30,'Private','HSgrad','Married','Machinist',31908.14,'Male',0,60,'Ireland',127784,1
1679323,23,'Private','Bachelor','Absent','Executive',187746.84,'Male',0,30,?,0,0
1681753,30,'Private','HSgrad','Married','Cleaner',39964.51,'Male',0,40,'UnitedStates',0,0
1688602,43,'Private','College','Divorced','Executive',99033.38,'Female',0,45,'Iran',0,0
1690774,33,'Private','Bachelor','Married','Professional',34909.61,'Male',0,40,'UnitedStates',0,0
1699810,28,'Private','HSgrad','Married','Transport',5020.35,'Male',0,55,'UnitedStates',0,0
1706370,37,'Private','Yr5t6','Absent','Clerical',112555.47,'Female',0,40,'Mexico',0,0
1709319,39,'Private','Bachelor','Married','Executive',41783.9,'Male',0,45,'UnitedStates',0,0
1711915,62,'PSState','Bachelor','Divorced','Professional',84131.98,'Male',0,40,'UnitedStates',0,0
1718282,41,'Private','Bachelor','Married','Professional',36074.06,'Male',0,40,'UnitedStates',5171,1
1718309,44,'PSLocal','Bachelor','Divorced','Professional',213973.77,'Female',0,60,'UnitedStates',0,0
1722201,43,'Private','HSgrad','Divorced','Clerical',81510.39,'Female',0,40,'UnitedStates',0,0
1722542,29,'Private','College','Absent','Professional',50094.67,'Female',0,40,'UnitedStates',0,0
1723024,42,'Private','Bachelor','Married','Executive',50551.03,'Male',0,40,'UnitedStates',0,0
1731662,40,'Private','HSgrad','Married','Repair',97547.06,'Female',0,40,'UnitedStates',7298,1
1742535,29,'PSFederal','College','Married','Clerical',4078.5,'Male',0,40,'UnitedStates',12108,1
1747347,55,'PSFederal','College','Married','Clerical',31166.28,'Male',0,40,'UnitedStates',3734,1
1761439,45,'PSLocal','Master','Divorced','Professional',222717.87,'Female',0,40,'UnitedStates',0,0
1767024,30,'Private','HSgrad','Married','Executive',37473.98,'Male',0,50,'UnitedStates',0,0
1770057,34,'Private','HSgrad','Married','Executive',46744.95,'Male',0,40,'UnitedStates',742,1
1777740,46,'Private','HSgrad','Married','Sales',47468.51,'Male',0,45,'UnitedStates',3307,1
1782051,54,'PSState','Doctorate','Absent','Executive',103595.28,'Female',0,50,'UnitedStates',3101,1
1782989,19,'Private','College','Absent','Sales',194754.75,'Female',0,30,'UnitedStates',0,0
1787841,37,'Private','Master','Married','Support',25184.95,'Male',0,60,'UnitedStates',4613,1
1792615,61,'Private','Yr7t8','Divorced','Machinist',260112.97,'Female',0,40,'UnitedStates',0,0
1796280,50,'Private','HSgrad','Married','Repair',28048.06,'Male',0,40,'UnitedStates',0,0
1797150,70,'Private','Bachelor','Married','Cleaner',33194.3,'Male',0,40,'UnitedStates',6418,1
1797445,51,'Private','HSgrad','Unmarried','Machinist',99568.55,'Male',1250.66666666667,40,'UnitedStates',0,0
1807406,56,'Private','Yr7t8','Married','Repair',34188.25,'Male',0,26,'UnitedStates',0,0
1808117,18,'Private','Yr12','Absent','Service',260683.22,'Female',0,25,'UnitedStates',0,0
1819322,21,'Private','Vocational','Absent','Farming',143593.32,'Female',1068,30,'UnitedStates',0,0
1823237,65,'Private','HSgrad','Widowed','Clerical',108469.67,'Female',0,20,'UnitedStates',0,0
1824560,24,'Private','College','Absent','Service',132751.47,'Female',0,35,'UnitedStates',0,0
1827120,35,'SelfEmp','Bachelor','Unmarried','Professional',60109.64,'Female',0,50,'UnitedStates',0,0
1833635,32,'Private','College','Absent','Repair',238185.2,'Male',0,72,'Mexico',0,0
1834675,42,'Private','Bachelor','Married-spouse-absent','Transport',56699.92,'Male',0,60,'UnitedStates',0,0
1838203,34,'Private','Bachelor','Married','Executive',18437.46,'Male',1977,45,'UnitedStates',9651,1
1839135,53,'Private','HSgrad','Married','Executive',30280.67,'Male',0,60,'UnitedStates',4602,1
1841487,30,'Private','Vocational','Married','Clerical',122856.43,'Female',0,24,'UnitedStates',0,0
1845737,28,'Private','HSgrad','Divorced','Cleaner',99674.17,'Male',0,40,'UnitedStates',0,0
1851537,36,'Private','HSgrad','Absent','Executive',44964.56,'Female',0,38,'UnitedStates',0,0
