"ID","Age","Employment","Education","Marital","Occupation","Income","Sex","Deductions","Hours","Accounts","Adjustment","Adjusted"
1004641,38,"Private","College","Unmarried","Service",62954.66,"Female",0,72,"UnitedStates",0,0
1010229,35,"Private","Associate","Absent","Transport",65762.23,"Male",0,30,"Jamaica",0,0
1024587,32,"Private","HSgrad","Divorced","Clerical",266932.61,"Male",0,40,"UnitedStates",0,0
1038288,45,"Private","Bachelor","Married","Repair",70296.77,"Male",0,55,"UnitedStates",7298,1
1044221,60,"Private","College","Married","Executive",36261.95,"Male",0,40,"UnitedStates",15024,1
1047095,74,"Private","HSgrad","Married","Service",45612.36,"Male",0,30,"UnitedStates",0,0
1047698,43,"Private","Bachelor","Married","Executive",23125.65,"Male",0,50,"UnitedStates",10283,1
1053888,35,"Private","Yr12","Married","Machinist",35776.48,"Male",0,40,"UnitedStates",0,0
1061323,25,"Private","Associate","Divorced","Clerical",194439.89,"Female",0,40,"UnitedStates",0,0
1062363,22,"Private","HSgrad","Absent","Sales",118010.28,"Female",0,37,"UnitedStates",0,0
1068642,48,"Private","College","Divorced","Service",129245.69,"Female",0,35,"UnitedStates",0,0
1071615,60,"Private","Vocational","Widowed","Clerical",52515.34,"Male",0,40,"UnitedStates",0,0
1071878,21,"Private","College","Absent","Service",90768.06,"Female",0,35,"UnitedStates",0,0
1077831,21,"Private","College","Absent","Machinist",125979.87,"Male",0,40,"UnitedStates",0,0
1084870,50,"Private","Master","Married","Executive",48107.21,"Male",0,40,"Philippines",7298,1
1085176,37,"Private","HSgrad","Divorced","Executive",60290.55,"Male",0,35,"UnitedStates",0,0
1093662,30,"Consultant","HSgrad","Divorced","Repair",135538.65,"Male",0,40,"UnitedStates",0,0
1094029,32,"Private","HSgrad","Married","Machinist",21862.41,"Male",0,40,"UnitedStates",0,0
1099084,65,"SelfEmp","College","Married","Sales",26451.05,"Male",0,40,"UnitedStates",0,0
1099829,28,"Private","College","Married","Executive",6042.07,"Male",0,55,"UnitedStates",0,0
1110947,40,"PSLocal","Vocational","Divorced","Executive",127455.63,"Female",0,40,"UnitedStates",0,0
1113899,41,"PSState","Bachelor","Divorced","Executive",49572.68,"Male",0,40,"UnitedStates",0,0
1126025,30,"Private","HSgrad","Absent","Service",69335.21,"Male",0,30,"UnitedStates",0,0
1129687,38,"Private","HSgrad","Married","Repair",26661.83,"Male",0,40,"UnitedStates",0,0
1133761,23,"Private","Yr11","Unmarried","Professional",107965.38,"Male",0,35,"UnitedStates",0,0
1135666,42,"PSState","College","Absent","Executive",181771.28,"Female",0,40,"UnitedStates",0,0
1139749,26,"Private","Bachelor","Absent","Sales",83451.73,"Female",0,40,"UnitedStates",0,0
1141887,32,"Consultant","HSgrad","Married","Sales",31167.3,"Male",0,60,"UnitedStates",7139,1
1142177,49,"PSFederal","College","Married","Support",33197.49,"Male",0,40,"UnitedStates",5647,1
1142367,26,"Private","HSgrad","Married","Repair",23162.74,"Male",0,40,"Mexico",0,0
1142837,28,"Private","Yr10","Married","Machinist",34026.11,"Male",0,40,"UnitedStates",0,0
1145025,41,"PSFederal","Bachelor","Married","Support",41055.07,"Male",0,24,"UnitedStates",0,0
