"ID","Age","Employment","Education","Marital","Occupation","Income","Sex","Deductions","Hours","Accounts","Adjustment","Adjusted"
1004641,38,"Private","College","Separated","Service",55387.98,"Female",0,72,"UnitedStates",0,0
1010229,35,"Private","Associate","Unmarried","Transport",75011.26,"Male",0,30,"Jamaica",0,0
1024587,32,"Private","HSgrad","Divorced","Clerical",14504.64,"Male",0,40,"UnitedStates",0,0
1038288,45,"Private","Bachelor","Civil","Repair",36609.37,"Male",0,55,"UnitedStates",7298,1
1044221,60,"Private","College","Civil","Executive",29883.66,"Male",0,40,"UnitedStates",15024,1
1047095,74,"Private","HSgrad","Civil","Service",60706.81,"Male",0,30,"UnitedStates",0,0
1047698,43,"Private","Bachelor","Civil","Executive",34612.27,"Male",0,50,"UnitedStates",0,1
1053888,35,"Private","Yr12","Civil","Machinist",16548.31,"Male",0,40,"UnitedStates",0,0
1061323,25,"Private","Associate","Divorced","Clerical",244777.04,"Female",0,40,"UnitedStates",0,0
1062363,22,"Private","HSgrad","Unmarried","Sales",45027.32,"Female",0,37,"UnitedStates",0,0
1068642,48,"Private","College","Divorced","Service",129392.33,"Female",0,35,"UnitedStates",0,0
1071615,60,"Private","Vocational","Widowed","Clerical",48934.73,"Male",0,40,"UnitedStates",0,0
1071878,21,"Private","College","Unmarried","Service",144201.45,"Female",0,35,"UnitedStates",0,0
1077831,21,"Private","College","Unmarried","Machinist",257695.35,"Male",0,40,"UnitedStates",0,0
1084870,50,"Private","Master","Civil","Executive",20222.7,"Male",0,40,"Philippines",7298,1
1085176,37,"Private","HSgrad","Divorced","Executive",80063.37,"Male",0,35,"UnitedStates",0,0
1093662,30,"Consultant","HSgrad","Divorced","Repair",107267.33,"Male",0,40,"UnitedStates",0,0
1094029,32,"Private","HSgrad","Civil","Machinist",29372.07,"Male",0,40,"UnitedStates",0,0
1099084,65,"SelfEmp","College","Civil","Sales",68593.73,"Male",0,40,"UnitedStates",0,0
1099829,28,"Private","College","Civil","Executive",27659.67,"Male",0,55,"UnitedStates",0,0
1110947,40,"PSLocal","Vocational","Divorced","Executive",223142.96,"Female",0,40,"UnitedStates",0,0
1113899,41,"PSState","Bachelor","Divorced","Executive",8454.53,"Male",0,40,"UnitedStates",0,0
1126025,30,"Private","HSgrad","Unmarried","Service",88778.69,"Male",0,30,"UnitedStates",0,0
1129687,38,"Private","HSgrad","Civil","Repair",63080.33,"Male",0,40,"UnitedStates",0,0
1133761,23,"Private","Yr11","Separated","Professional",9791.77,"Male",0,35,"UnitedStates",0,0
1135666,42,"PSState","College","Unmarried","Executive",38194.57,"Female",0,40,"UnitedStates",0,0
1139749,26,"Private","Bachelor","Unmarried","Sales",31629.07,"Female",0,40,"UnitedStates",0,0
1141887,32,"Consultant","HSgrad","Civil","Sales",61924.89,"Male",0,60,"UnitedStates",3029,1
1142177,49,"PSFederal","College","Civil","Support",10864.92,"Male",0,40,"UnitedStates",2510,1
1142367,26,"Private","HSgrad","Civil","Repair",8634.95,"Male",0,40,"Mexico",0,0
1142837,28,"Private","Yr10","Civil","Machinist",22622.37,"Male",0,40,"UnitedStates",0,0
1145025,41,"PSFederal","Bachelor","Civil","Support",59655.69,"Male",0,24,"UnitedStates",0,0
1146358,46,"Private","HSgrad","Unmarried","Service",261024.06,"Female",0,24,"UnitedStates",0,0
1147562,42,"Private","College","Unmarried","Machinist",49964.22,"Female",0,40,"UnitedStates",0,0
1151685,39,"Private","College","Divorced","Clerical",99094.25,"Female",0,40,"UnitedStates",0,0
1153241,50,"Private","Yr11","Unmarried","Machinist",71466.49,"Female",0,40,"UnitedStates",0,0
1155672,47,"PSLocal","Doctorate","Unmarried","Professional",148500.24,"Female",0,40,"UnitedStates",0,0
1157546,24,"Private","Associate","Separated","Repair",164585.92,"Male",0,40,"UnitedStates",8614,1
1158519,45,"Private","Vocational","Civil","Repair",36254.07,"Male",0,40,"UnitedStates",0,0
1169595,40,"PSFederal","Associate","Unmarried","Clerical",43309.03,"Female",0,40,"UnitedStates",0,0
1172381,51,"SelfEmp","Doctorate","Civil","Professional",58353.62,"Male",0,40,"UnitedStates",15024,1
1172752,77,"Private","HSgrad","Civil","Service",48042.34,"Male",0,25,"Cuba",0,0
1177328,35,"Private","College","Civil","Support",44527.2,"Male",0,45,"UnitedStates",0,0
1178076,39,"Private","Yr9","Divorced","Cleaner",70245.74,"Male",0,50,"UnitedStates",0,0
1197102,39,"PSState","Bachelor","Unmarried","Executive",67040.08,"Female",0,40,"UnitedStates",0,0
1199127,63,"SelfEmp","Bachelor","Civil","Farming",27668.93,"Male",0,40,"UnitedStates",3678,1
1205484,64,"Private","HSgrad","Widowed","Service",51449.89,"Female",0,38,"UnitedStates",0,0
1210411,39,"Private","Bachelor","Civil","Professional",22818.93,"Male",0,40,"UnitedStates",0,1
